id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
239,0.997,0.997,2.07e-06,8.52e-11,0,1,144000,1.61,11000,144000,2.4,0.106,0.0154,0.119,53,98.8,33,1140,0.00106,885,4.18,1580
240,1,1,0.775,-3.4e-11,1.43e-16,1,1340000,241,242,1350000,2.4,307,0.00336,30.3,59.2,307,0.176,42.3,6.11,0.00773,34.6,343
241,1,1,0.0105,-3.36e-12,0,1,1.03e+08,637,779,1.03e+08,2.4,0.142,0.00236,5.91,308,325,0.0942,4.35,3.43,0.00283,2.44,3.29
242,0.999,0.999,1.53e-05,1.12e-10,0,1,721000,440,209000,722000,2.4,20.2,0.0102,0.00238,1080,25.4,2.46,5.18,27.4,0.00202,116,3.27
243,0.736,1,5.71,-1.04e-10,0,0.997,333,251,251,2450000,2.4,721,7.78,0.0848,70.5,2.33,1.39,254,1.08,0.00388,3860,2280
244,1,1,1.01e-05,-3.61e-11,0,1,358000,14.1,447000,862000,2.4,0.371,1.59,0.000157,227,38.6,38.7,849,18.7,0.0256,743,34.2
245,1.18,1.16,0.000115,-1.75e-11,-1.37e-16,1,6360,57.6,6590,6850,2.4,1.23,0.317,0.0405,2.22,18.9,0.0446,590,0.121,109,1170,28.7
246,0.901,0.962,5.57e-06,-2.25e-11,1.46e-16,1,4150,0.722,1130,10900,2.4,58.1,0.0266,0.000615,206,1.57,747,270,0.0535,0.0014,1.03,95.6
247,0.991,0.999,17.7,3.32e-10,6.77e-14,1,25500,4.24,4.77,227000,2.4,12.9,19.7,47.9,3.21,2.08,10.1,44.5,63.7,53.3,878,1360
248,1,1,11.7,-8.71e-12,6.08e-16,1,2930,27,46.3,2980,2.4,3.32,8.61,631,156,1.7,2.48,1.39,0.0142,465,22,5.38
249,1,1,6.96,6.53e-12,1.28e-16,1,6510000,2.39,2.43,6790000,2.4,0.773,0.134,19.3,240,139,8.69,16.5,32.9,0.363,48.3,1640
250,0.999,0.999,0.00123,-5.51e-11,-1.77e-16,1,783000,157,551,799000,2.4,1.16,0.00315,0.766,409,11,2.16,143,3.5,1.45,310,273
