id,AFIR_sim,SCIM_sim,TLss_sim,TLss_frac_change,TL0_05tau_frac_change,AFIR_thy,AFIR_simple_thy,SCIM_thy,SCIM_simpler_thy,SCIM_simplest_thy,CL,dose,T0,L0,keT,keL,keDT,keTL,Kd_DT,Kd_TL,kon_DT,kon_TL
411,0.993,0.993,2e-04,-4.89e-09,0,1,46800,21,3200,46900,2.4,0.191,0.0326,0.072,6.9,265,0.346,69.5,0.239,1.63,3.06,6.92
412,1,1,0.0142,-3.67e-16,8.52e-14,1,14900,28.6,15400,687000,2.4,7.14,358,0.000847,292,2.21,471,5.94,142,21.4,2880,411
413,1,1,0.017,-4.08e-16,-2.04e-16,1,982000,0.273,0.282,1010000,2.4,5.09,0.000567,17.7,932,4.95,625,145,491,0.132,8830,316
414,0.941,1,869,-1.86e-12,-2.09e-15,1,2850,0.289,0.289,11600000,2.4,495,179,0.0497,6.97,5,9,1.17,833,0.0099,20.7,3380
415,0.859,0.998,11.9,2.06e-10,1.49e-16,1,5260,0.259,0.26,528000,2.4,61.9,1.76,0.716,33.8,4.67,126,27.7,154,0.00161,5410,267
416,1,1,41300,0,-1.76e-16,0.998,428,1.29,1.29,47100000,2.4,239,684,1.13,1330,26.1,78,78.8,0.0258,0.00148,73.6,4570
417,0.767,0.767,0.0172,9.23e-11,0,0.999,1500,0.0261,0.0275,1500,2.4,17.9,0.00113,7.74,26.7,1180,1220,32.1,40.7,0.164,5170,142
418,1,1,273,8.48e-13,2.08e-16,1,50200,0.0852,0.0852,79900,2.4,1.92,0.018,545,4.43,5.61,77.7,6.62,0.00439,0.0305,1360,1250
419,0.0074,0.0321,1.17e-09,0.77,1.82e-16,0.779,3.52,0.0159,3.5,3.52,2.4,60.9,0.00157,0.0203,7.77,1.35,486,1.35,1.96,878,53,796
420,0.882,0.939,0.00157,2.07e-08,-5.34e-13,0.0256,0.0263,0.0523,0.0539,0.0539,2.4,162,275,0.00527,1.06,57.1,1.21,189,0.0033,869,1640,6110
421,1,1,2.73e-08,1.63e-08,0,1,1.8e+07,8.29,1370000,1.8e+07,2.4,0.109,0.00489,0.000364,773,4.27,93.4,74,116,0.766,1.16,1.15
422,1,1,0.0708,1.26e-14,0,1,7670000,4.44,4.77,7870000,2.4,0.322,0.00534,23.2,7.75,105,185,884,32.4,0.00548,9430,506
423,1,1,2270,0,-4e-16,1,15200000,407,407,2.42e+11,2.4,0.137,192,0.164,8.61,43.7,0.125,50.1,0.358,0.00826,118,8990
424,0.931,0.94,0.000342,7.59e-09,-2.98e-16,0.91,10.1,0.399,11.7,11.8,2.4,16,6.15,0.00412,6.53,124,18.4,228,0.00368,50.4,49.3,11.8
425,0.953,0.958,0.000383,-4.91e-09,1.35e-16,0.997,341,0.0109,40.3,378,2.4,2.14,1.84,0.00016,4.14,720,423,31.4,2.67,0.634,7.18,308
426,1,1,0.457,1.22e-16,0,1,3e+06,3100,3530,2.87e+09,2.4,1.01,61,0.0653,53.7,1.76,2.1,241,95.3,0.0047,1170,27.7
427,0.995,0.995,0.0166,-7.83e-12,0,1,93100,0.178,0.196,93200,2.4,1.27,0.00166,598,13.1,3.97,416,80.3,49.6,45.7,1340,5.75
428,1.38,1.38,2.75e-05,-1.88e-13,-1.7e-16,1,5070,227,3070,5080,2.4,337,0.00063,0.000744,8.87,164,0.0375,8.95,5.81,0.0174,567,1440
429,0.24,0.366,0.00329,2.77e-06,-1.16e-15,0.993,143,0.244,2.43,263,2.4,5.04,0.15,0.00214,1.11,11.4,8.45,2.29,0.00129,0.0327,2.08,785
430,1,1,32100,-3.4e-16,1.13e-16,1,22200000,460,460,1.32e+12,2.4,22.1,449,276,3.15,1.51,1.67,770,11.9,0.123,3.17,206
431,0.00169,0.528,0.00451,3.31e-09,2.03e-16,0.461,0.856,128,218,560,2.4,208,6.41,0.00166,1.32,6.62,5.11,840,0.309,0.665,3630,1450
432,0.998,0.998,7.83e-05,-1.02e-12,0,1,222000,893,4360,222000,2.4,2.12,0.000311,0.4,678,1270,0.697,417,0.247,0.18,6.87,297
433,1,1,0.102,-1.36e-16,1.36e-16,0.997,378,80300,262000,548000,2.4,156,642,0.00194,482,1.84,6.04,50.7,0.593,0.00358,306,4.15
434,0.56,0.56,6.08e-07,-1.75e-07,-1.95e-16,0.998,557,130,547,557,2.4,3.93,0.000207,0.137,660,95.5,3.87,110,0.0102,0.249,8330,4.25
435,1.03,1.03,7.39e-06,-1.02e-08,-1.18e-16,1,20000,217,21800,21800,2.4,263,0.992,0.000247,12,132,0.0596,410,21.6,5.13,2.77,14.1
436,0.653,0.652,0.0534,4.87e-10,1.69e-16,0.999,777,9.85,9.98,777,2.4,33.8,0.00104,563,1320,2.57,3.16,15,0.0269,4.2,5390,5.07
437,0.999,0.999,0.00171,-9.86e-11,1.27e-16,1,65100,6.8,21900,89100,2.4,0.269,9.98,0.00475,2.38,43.2,0.48,44.3,2.93,0.0483,4790,1.6
438,0.758,0.758,1.17e-08,3.06e-13,0,0.999,1410,6.75,1410,1410,2.4,599,0.000824,0.00624,11.8,26.8,1.74,85.3,103,333,1.89,53.3
439,0.847,0.999,5.67,-1.21e-09,5.01e-15,0.412,0.701,12.1,16.5,114,2.4,394,395,0.00581,1.38,12.4,5.1,2.06,0.0213,0.392,6.32,157
440,0.93,0.93,3.76e-08,-1.37e-14,-3.27e-16,1,6080,1.31,2690,6080,2.4,4.33,0.000149,0.00159,1.43,7.25,1.1,33.9,16.7,5.69,7210,207
441,0.967,0.967,1.27e-05,7.94e-14,0,1,5360,1.56,1670,5440,2.4,1.13,0.0205,0.00126,179,219,116,304,2.37,1.38,130,516
442,0.985,0.985,0.00207,9.75e-11,4.12e-16,1,27800,6.13,291,27800,2.4,7.09,0.099,0.291,6.34,86.4,1.07,17.2,26.2,13.3,2900,46.4
443,0.956,0.956,1.01e-05,9.47e-06,0,0.999,1290,88.7,1300,1300,2.4,26.5,1.05,0.000433,10.6,580,0.112,34.7,0.277,40.7,5.02,13.9
444,0.968,0.968,1.65e-05,7.26e-09,3.97e-16,0.999,746,111,750,750,2.4,7.35,0.3,0.00079,117,194,0.905,46.3,0.0333,0.602,495,3.48
445,0.00162,0.00162,7.66e-08,-6.12e-08,5.74e-16,0.433,0.763,0.741,0.763,0.763,2.4,57.4,0.00437,0.343,31.3,58.9,1.23,2.55,0.00106,31.8,3280,197
446,0.993,0.997,0.688,-9.06e-10,0,1,161000,15.1,15.5,388000,2.4,325,0.0342,101,129,2.14,29.1,443,139,0.144,210,90.8
447,1,1,1.3e-10,1.16e-12,0,1,1450000,1.95,1260000,1450000,2.4,0.116,0.000661,0.000104,233,15.5,120,289,70.7,318,243,1.37
448,0.947,0.981,373,3.55e-10,0,0.968,30.3,0.0508,0.0508,87.2,2.4,354,0.742,20.6,14,68.9,139,7.02,0.00211,0.0387,408,4640
449,1,1,0.000903,5.14e-12,3.6e-16,1,2970,15.4,2930,3000,2.4,0.339,7.23,0.00382,12.5,38.4,0.812,1.85,0.0506,30.6,212,88.6
450,1,1,3.22,-4.14e-16,5.93e-13,0.997,325,3.65,76.4,1470,2.4,0.919,306,6.65,41.2,1.18,48.7,8.59,0.183,632,444,306
451,1,1,1.07e-05,8.48e-06,-1.59e-16,1,1740000,2550,32400,1770000,2.4,0.631,0.000129,0.0028,351,35.8,0.135,181,0.332,0.00412,50.3,6070
452,1,1,100,-3.21e-14,1.42e-16,1,322000,22.5,26.3,3440000,2.4,0.12,177,1.95,1.3,201,1.54,38.1,2.16,0.117,168,11.4
453,1,1,21700,-1.68e-16,0,1,666000,2.92,2.92,10600000,2.4,0.183,209,428,37.6,157,15.9,46,0.00291,1.53,48,17.7
454,0.776,0.776,3.07e-06,-1.67e-08,4.28e-15,0.988,84,82.5,84.1,84.1,2.4,116,0.376,0.00235,243,25,0.0551,23.1,0.00162,223,249,4720
455,0.3,0.301,8.98e-05,3.17e-07,1.27e-15,0.99,100,2.46,23.9,101,2.4,1.05,0.00342,6.53,50.2,1.66,23.4,155,0.0019,74.7,773,8930
456,0.999,1,1320,-1.03e-11,-2.42e-15,0.996,275,1.45,1.49,1360,2.4,697,143,353,276,21.1,35,22.3,11.1,36,81.3,9.95
457,0.764,0.763,8.21e-06,-1.84e-07,-1.57e-16,0.999,1530,0.872,56.2,1530,2.4,402,0.000708,0.153,75.4,23,85.7,37,552,0.00221,3.35,3.66
458,0.989,0.989,0.000428,-9.24e-08,0,1,24200,1510,2410,24200,2.4,38.8,0.000287,16.7,1.48,10.6,0.294,785,0.193,0.0234,2630,70.9
459,1,1,0.854,-2.33e-12,0,1,7040000,1.26,1.3,7060000,2.4,0.464,0.0278,44.4,1040,342,52.8,34.8,66.7,0.288,46.2,30
460,0.783,0.975,24.2,4.77e-09,1e-15,0.833,5,0.0366,0.0422,54.1,2.4,90.2,41,0.117,1.2,195,261,9.04,6.31,0.192,31.4,7760
461,0.991,0.991,0.0143,8.32e-10,0,0.999,1800,23.7,137,1810,2.4,6.58,0.0746,0.0569,1170,362,41.1,4.59,0.0035,0.293,121,9550
462,0.924,0.938,0.0374,1.43e-08,0,1,6470,26.5,43.1,8110,2.4,30.4,0.0316,0.204,10.4,110,3.46,142,1.11,0.0674,1.86,1510
463,0.976,0.976,1.38e-06,2.96e-07,3e-16,1,16500,0.217,1070,16500,2.4,0.562,0.00741,0.00369,95.4,18.7,441,13.4,4.67,7.33,14.3,1.12
464,1,1,673,-2.66e-13,1.69e-16,1,131000,29.6,30.3,241000,2.4,10.9,30.6,126,541,529,3.55,83.1,1.3,5.4,7.34,242
465,1.01,1.01,7e-07,7.56e-16,0,1,6770,722,7850,7940,2.4,5.94,0.00067,0.000122,82.2,18.8,0.122,566,0.0492,0.0119,6660,5380
466,1,1,819000,2.84e-16,1.42e-16,1,9.26e+10,23.3,23.3,2.38e+12,2.4,0.203,8.91,622,7.02,73.4,0.0592,1.38,7.27,0.00272,13.9,340
467,1,1,676,2.35e-15,5.92e-14,1,1040000,22.4,22.7,28600000,2.4,0.16,186,56.6,694,140,22.1,310,1.15,15.5,41.7,6410
468,1,1,0.000317,-1.69e-12,1.71e-16,0.983,57.9,2.13,69.6,69.6,2.4,2.64,49.9,0.00248,45,479,24.7,759,0.0126,0.00497,433,1.94
469,0.47,0.47,4.26e-06,1.95e-08,0,0.998,420,0.9,38.7,420,2.4,268,0.000419,0.121,98.3,16.1,108,37.9,101,5.57,225,918
470,0.968,0.968,0.0488,5.47e-09,0,1,4900,10.6,20.1,4980,2.4,1.25,0.0459,0.393,2.51,728,4.5,88.6,0.0926,0.29,33,1310
471,0.116,0.521,0.304,1.87e-07,-2.67e-15,0.987,78,2.37,2.42,637,2.4,164,0.102,0.264,31.7,3.2,6.54,10.4,0.668,0.0432,68.2,3450
472,1,1,1.51e-08,-4.78e-11,0,1,511000,1830,507000,511000,2.4,36.2,0.000545,0.00506,487,3.57,0.265,2.32,8.38,182,3030,1.93
473,0.00622,0.00871,0.0532,7.2e-10,0,0.509,1.04,0.162,0.171,1.48,2.4,960,0.555,112,85.2,3.16,167,24.6,0.0434,0.00106,485,2.42
474,0.802,0.803,0.0207,2.99e-08,-2.69e-16,0.998,566,15.1,38.6,579,2.4,30.8,0.0442,0.531,546,14.9,22.8,6.84,0.35,0.3,91.1,11.2
475,1,1,1.41,2.13e-14,5.99e-15,1,702000,9710,10100,1.45e+08,2.4,0.238,10.7,0.00924,64.5,1.62,0.0489,2.18,0.104,0.0691,480,2000
476,1,1,0.000416,5.94e-09,2.61e-16,1,2520000,11.8,669,2660000,2.4,0.219,0.0246,0.00291,505,72.2,44.7,29,0.743,0.00756,1.12,176
477,0.979,0.995,81.9,1.25e-09,0,0.996,256,373,377,1190,2.4,994,6.33,220,9.17,29.5,0.523,288,0.0285,0.00125,497,17
478,1,1,1630,2.79e-16,0,1,1740000,11200,11300,33900000,2.4,0.528,157,108,575,595,0.0694,729,0.00647,0.432,2180,73.1
479,0.685,0.708,0.000116,-1.57e-08,-1.85e-13,0.998,446,11.3,499,499,2.4,817,15.2,0.000118,22.8,77.8,2.2,6.74,29.2,11,835,3990
480,1,1.25,1.74e-09,0.403,0,1,4.4e+07,6750,43900000,4.4e+07,2.4,0.166,0.00244,0.000286,320,24,0.0475,1170,0.872,0.874,1.73,2.34
481,0.0888,0.0899,3.09e-09,-3.59e-07,-1.93e-16,0.979,45.9,1.75,46.6,46.6,2.4,14.2,0.011,0.00152,1.01,1.08,0.567,679,0.209,0.00179,6.07,1.4
482,0.788,0.788,0.000415,3.52e-08,2.06e-16,0.999,1640,6.86,81.2,1640,2.4,29.3,0.00602,1.09,1.57,50.8,1.33,96.2,5.24,12,17.9,246
483,0.0439,0.0439,1.07e-07,-9.91e-07,0,0.956,21.7,0.11,7.42,21.7,2.4,225,0.000248,0.0489,111,503,998,2.98,36.2,4.95,4970,396
484,0.955,0.955,0.000182,-1.78e-08,-1.42e-16,1,9880,36.6,182,9900,2.4,142,0.000771,47.1,1190,1.3,29.6,674,25.4,191,1000,6900
485,0.947,0.985,0.000105,-7.67e-09,-2.42e-15,1,7110,14.5,24300,26900,2.4,219,6.86,0.00149,2.79,9.62,0.732,374,339,92.9,981,139
486,0.908,0.985,0.302,-7.06e-09,0,1,6710,0.0376,0.0384,44500,2.4,0.77,0.0424,0.152,7.25,5.49,426,15.3,2.71,0.0187,33.3,6610
487,0.97,0.97,0.00114,6.71e-12,0,1,15800,0.0368,0.0759,15800,2.4,0.11,0.00125,99.3,1.35,19.7,71,3.96,0.00697,105,3.51,756
488,0.998,0.998,2.11e-05,-7.03e-12,0,1,217000,0.637,126,221000,2.4,0.388,0.00426,0.254,141,1.49,228,390,110,0.0169,205,7.64
489,1,1,2740,1.29e-13,1.66e-16,1,8150000,1.01,1.01,4.14e+09,2.4,8.01,4.98,13.8,378,13.1,33.6,33.2,97.3,0.0192,219,5760
490,1,1,0.0144,1.25e-12,-1.2e-16,1,5730000,131,165,6870000,2.4,80.5,0.00461,0.206,513,9.52,1.16,27.2,738,0.00183,1.83,425
491,0.967,1,0.856,2.14e-13,-2.59e-16,0.988,80.3,64,64.1,4140000,2.4,113,109,0.000376,4.96,2.02,10.6,45.8,14.4,0.0031,20.4,1020
492,1,1,0.405,3.17e-13,-3.57e-15,1,538000,41700,159000,7890000,2.4,106,17.1,0.0243,1160,19.8,0.301,16.3,12.3,0.99,312,455
493,1,1,4.76e-05,-2.12e-14,-1.42e-16,1,3080000,18.7,887,3080000,2.4,3.6,0.00221,2.27,6.62,575,0.706,319,482,0.301,18.8,3.04
494,0.00152,0.00152,0.000276,-1.13e-07,0,0.408,0.688,0.68,0.683,0.689,2.4,885,0.0884,40.7,5.22,277,0.885,64.8,0.00197,12,698,8.27
495,1,1,29.5,-5.45e-14,-2.41e-16,1,28500000,630,660,1.02e+08,2.4,11.3,4.96,7.59,3.36,107,0.109,71.1,68.6,1.26,2020,4050
496,0.998,0.998,4.54e-07,-3.25e-10,0,1,196000,44.6,189000,197000,2.4,253,0.0481,0.00307,787,13.3,17.8,546,925,325,353,8500
497,1,1,1.04e-06,-2.29e-13,2.05e-16,1,1.3e+07,1010,137000,1.3e+07,2.4,7.69,0.000141,0.316,238,20.1,0.236,123,82.2,1.02,61.9,2.91
498,0.677,0.677,1.37e-06,-2.73e-06,0,0.998,585,0.928,50.1,586,2.4,0.255,0.000117,0.0312,687,15.9,735,392,0.0444,0.00936,8470,218
499,1,1,2.45,-6.81e-13,-1.81e-16,1,5370000,45.4,49.1,4.86e+08,2.4,0.475,18.2,2.39,22.1,14.1,28.4,1230,320,14.2,42.5,348
500,0.336,0.336,2.78e-06,-0.000469,0,0.996,234,0.997,34.3,234,2.4,1.63,0.000324,15.2,28.6,869,50.9,924,0.00977,0.00194,171,1.56
501,1.06,1.06,7.12e-06,3.86e-09,0,1,26100,38.7,25300,26200,2.4,37.5,0.13,0.000255,1.41,70.3,0.0365,11.7,21.1,0.353,112,2.54
502,0.963,0.962,7.73,-1.77e-08,0,0.981,52.9,7.78,9.71,54.2,2.4,444,2.49,1.16,746,1070,19.9,3.75,0.0151,0.0048,40,10.6
503,0.818,0.818,1.07e-05,-2.68e-09,-3.49e-15,0.999,1190,0.00918,27.4,1190,2.4,0.187,0.0401,0.00634,2.83,2.74,309,1.9,18.5,19.4,188,7020
504,0.00412,0.00433,1e-05,5.49e-13,3.74e-16,0.66,1.94,1.72,2.05,2.05,2.4,432,0.516,0.00436,1.53,122,0.157,12.9,0.0678,0.491,167,26.9
505,1,1,6.53e-05,2.06e-07,-2.08e-16,1,35700000,210,67900,35800000,2.4,0.149,0.0211,0.000268,88.7,348,0.422,4.5,20.9,0.0814,5.91,835
506,1,1,0.00107,2.03e-16,2.16e-13,1,29100,127,583000,1350000,2.4,2.03,400,0.000375,153,3.9,56,62,0.0303,140,3.13,2970
507,1,1,23200,-1.23e-12,3.14e-16,1,254000,0.877,0.877,6380000,2.4,19.5,44.4,9.67,19.7,173,2.02,1.74,8.88,0.00109,18.3,99.6
508,1,1,0.277,2.21e-15,1.24e-13,0.998,602,117,1600,65100,2.4,28.7,387,0.0319,80.4,9.4,68.8,116,3.13,44.5,7.54,3930
509,0.989,0.99,2.06e-06,8.68e-11,2.04e-16,1,41700,4.6,5490,45000,2.4,94.5,0.00305,0.000294,71.7,24.8,16.8,279,766,0.244,271,1490
510,1,1,50.9,8.75e-11,-2.79e-16,1,2280000,65.2,65.2,2280000,2.4,130,0.00311,437,64.7,1370,0.045,2.93,0.23,0.00319,4260,125
511,1,1,249,3.87e-12,-8.67e-15,1,2150,0.132,0.151,3490,2.4,8.39,59,643,26.1,5.46,98.7,8.77,22.7,152,137,45.5
512,0.0551,0.0551,8.32e-05,1.3e-07,-2.87e-16,0.965,27.5,0.0466,0.116,27.5,2.4,186,0.00227,0.0731,89,62.8,1160,1.86,42.7,0.109,98.9,5670
513,1,1,9.33,2.71e-13,1.9e-16,0.997,383,0.711,0.754,9020,2.4,0.802,13.3,2.43,8.59,25.9,218,152,0.0248,0.00424,477,44.1
514,1,1,0.00854,-2.03e-16,4.06e-16,1,12800000,0.114,0.115,12900000,2.4,0.111,0.000123,1.6,1090,2.67,159,2.7,0.0407,0.0225,1.08,5830
515,0.997,0.999,3.58,-3.27e-10,-7.68e-15,0.481,0.927,0.33,2.46,3.09,2.4,50.8,381,0.00189,4.55,1300,39.8,1.59,0.322,0.2,2110,5070
516,1,1,12200,3.74e-15,0,1,1.84e+09,16.9,16.9,5.11e+12,2.4,5.81,11.6,251,65.2,6.93,23.5,399,500,0.022,8250,1830
517,1,1,3.95,-4.5e-16,2.74e-14,1,2210,957,1510,895000,2.4,8.14,925,0.000727,19.9,58.5,3.09,4.34,2.31,0.17,375,8830
518,0.75,0.752,3.44e-05,3.83e-08,-4.44e-16,0.999,1410,0.168,6.6,1420,2.4,6.38,0.00179,0.000621,41.9,30.8,248,5.74,43.5,0.0212,647,1870
519,1,1,77.3,-1.1e-15,1.84e-16,1,52700,7.43,10.4,274000,2.4,1.14,162,104,45.7,226,132,1280,0.00692,121,13.2,13.2
520,1,1,10.3,-1.03e-15,0,1,2.69e+08,560,571,3.38e+08,2.4,28.2,0.274,9.6,40.2,522,0.222,126,292,0.234,162,6200
521,1,1,0.000698,-1.42e-13,2.95e-15,1,5520000,12200,1600000,6090000,2.4,1.54,0.136,0.796,753,1.69,0.0678,200,0.611,154,2.68,624
522,1,1,29600,4.06e-15,1.23e-16,0.999,1910,0.0854,0.0855,51700,2.4,105,328,153,512,822,1360,111,0.00503,0.00254,63,65.5
523,0.962,0.964,0.000683,1.93e-08,0,0.994,156,32.6,161,167,2.4,3.43,0.0842,0.159,168,3.67,4.42,58.1,0.0112,6.01,8490,4.49
524,0.992,0.992,0.0576,6.54e-12,0,1,53500,12.6,12.6,53600,2.4,56.8,0.000164,182,32.2,1.58,0.456,5.66,0.233,0.14,1.37,15.2
525,1,1,46.4,-8.07e-12,0,1,1450000,5380,7620,3150000,2.4,1.11,42,332,24.3,76.9,0.0872,644,0.127,0.00622,2.79,2.15
526,0.0536,0.0536,4.41e-07,-0.00692,0,0.964,26.8,0.0823,11,26.8,2.4,88.8,0.00184,0.686,4.31,156,60.2,152,7.86,143,3.77,14.4
527,1,1,0.12,-2e-11,1.15e-16,1,318000,1620,19600,323000,2.4,3.51,1.44,7.41,223,2.97,0.128,2.62,0.531,87.5,104,1.89
528,0.94,0.941,1.7,2.03e-08,-1.23e-16,0.811,4.29,4.47,4.53,4.54,2.4,425,8.59,0.266,137,691,0.403,6,0.00376,0.0654,627,5
529,1,1,3.23,-7.06e-08,0,1,3010000,34.9,73.2,4930000,2.4,0.581,5.81,0.733,246,567,7.18,82.4,31.3,0.687,1.66,131
530,0.926,0.926,2.42e-06,-4.12e-08,0,0.999,735,1.05,578,735,2.4,1.05,0.0067,0.0132,344,196,326,8.71,0.0485,33.4,587,26.1
531,1,1,0.0941,5.28e-14,-2.65e-15,1,64000,0.469,348,128000,2.4,1,139,0.000809,94.3,239,400,2.04,0.00212,1.18,1.77,92.7
532,1,1,616,1.85e-16,3.69e-16,1,1.4e+09,3.23,3.23,9.3e+09,2.4,3.68,0.296,38.1,480,5.21,0.633,1.81,640,0.00185,1100,110
533,0.00011,0.00011,5.48e-09,-4.4e-05,-1.36e-16,0.0496,0.0522,0.0188,0.0501,0.0522,2.4,779,0.00206,0.0804,4.35,1040,164,24.1,0.512,0.00435,268,7.27
534,1,1,0.0382,-6.73e-07,-1.82e-16,1,520000,793,2720,7560000,2.4,0.198,1.35,0.0233,266,19.4,3.51,160,0.287,0.0262,4.29,201
535,1,1,107,0,-1.32e-16,1,3e+05,630,632,9820000,2.4,0.4,13.5,292,277,6.13,0.893,530,0.00755,15.8,72.9,25.4
536,0.927,0.997,0.0993,2.54e-11,0,1,6710,28,61.8,154000,2.4,6.45,2.76,0.00494,2.76,957,18.1,1040,16.1,0.0231,4870,9170
537,1,1,0.00037,2.2e-15,1.46e-16,1,1.65e+08,1150,1080000,1.67e+08,2.4,0.229,0.354,0.00314,528,420,0.464,34.4,27.6,2.78,10.7,155
538,0.999,0.999,0.00277,-4e-10,0,1,351000,74.9,3220,351000,2.4,5.17,0.118,14.6,584,84.9,7.62,1.56,19.7,617,2200,231
539,0.999,0.999,5.15e-06,2.45e-09,-4.93e-16,1,530000,0.24,949,530000,2.4,0.215,0.0204,0.00361,210,970,873,24.3,0.00115,10.2,2.21,5.99
540,0.00571,0.00571,4.83e-05,-7.64e-07,0,0.655,1.9,0.442,1.78,1.9,2.4,21.2,0.399,0.323,4.79,97.9,8.58,11.4,0.0296,13.6,314,6.83
541,0.114,0.115,7.35e-07,0.000573,0,0.984,61.1,0.0806,1.55,61.1,2.4,46.7,0.00012,3.29,40.9,67,598,186,0.00428,61.6,21.5,2680
542,0.955,0.955,0.0312,2.97e-09,0,1,10100,0.0679,0.08,10100,2.4,5.42,0.00585,2.05,22.3,1410,147,7.76,42.2,0.359,2.47,928
543,1,1,14.3,-9.45e-12,1.24e-16,1,28700,0.0639,0.269,29000,2.4,0.689,46.3,59.3,21.4,1010,392,36.1,0.176,177,1.99,2.39
544,0.998,0.998,0.000855,3.81e-16,0,1,215000,0.562,1.61,215000,2.4,0.685,0.0016,6.92,234,541,570,481,139,0.00581,165,37.1
545,0.995,0.995,0.00911,-3.68e-09,-1.89e-15,1,63100,19.6,10800,63200,2.4,83.5,6.04,0.141,93.9,700,4.78,1.72,219,93.3,1.22,1870
546,1,1,0.0145,-2.47e-12,1.19e-16,1,5670000,0.858,1370,6270000,2.4,0.134,25.5,0.00541,623,253,802,9.95,20.4,0.021,1.01,1.05
547,1,1,0.654,0,-5.09e-16,1,19800,37200,38500,4.36e+08,2.4,0.139,500,0.000925,9.53,2.11,0.191,65.7,0.0223,0.632,8.37,882
548,0.999,0.999,0.00561,-1.48e-11,-1.55e-16,0.866,6.46,1.93,11.9,12,2.4,3.02,23.2,0.0547,6.83,37,5.55,306,0.0046,0.0144,659,1.36
549,1,1,0.216,-2.66e-14,0,1,5760000,961,970,5790000,2.4,55.7,0.00203,133,18.8,311,1.02,990,2.09,0.0308,2.1,816
550,0.999,0.999,15.8,-1.33e-12,1.35e-13,0.997,319,6.93,12,595,2.4,412,22.2,97.3,1110,8.97,130,47.8,0.0137,136,10.5,2660
551,0.998,0.998,0.106,1.31e-16,1.3e-16,1,273000,0.0329,0.0337,274000,2.4,2.07,0.00255,15.6,84.1,5.27,137,2.59,331,0.0453,51,7.9
552,0.996,0.999,0.0734,-1.3e-09,2.27e-15,0.95,18.8,0.931,84.6,135,2.4,9.53,127,0.00885,1.99,10.6,15.2,7.93,0.785,15.2,43.4,109
553,1,1,2.13e-07,2.36e-15,-1.24e-16,1,173000,5450,172000,173000,2.4,0.951,0.00137,0.0018,891,7.21,0.158,19.4,0.0243,11.5,4720,1220
554,0.992,1,6.48,1.4e-12,-9.32e-15,0.924,12.1,105,105,66400,2.4,484,190,0.13,38.5,4.61,15.5,507,0.00629,3.74,11.5,6970
555,0.982,1.01,6.6e-07,0.0278,3.24e-16,1,15300,269,14900,15300,2.4,0.218,0.00119,0.000602,81,150,0.296,30.7,0.00802,1.04,143,597
556,0.111,0.113,1.24e-07,2.12e-07,-1.93e-16,0.983,57.3,0.481,58.1,58.4,2.4,80.2,0.0286,0.000443,33.1,1.94,69.6,15.1,0.888,9.29,9.77,6.69
557,0.992,0.998,0.802,3.73e-10,8.29e-16,0.99,102,359,375,418,2.4,36.7,1.47,0.334,375,31.9,0.198,41.3,0.00101,0.504,373,388
558,0.168,0.168,0.0673,6.21e-09,0,0.989,92.3,0.331,0.687,92.5,2.4,928,0.436,13.7,5.7,373,45.6,25.4,112,0.00679,367,1.7
559,0.935,0.935,1.18e-05,9.47e-09,0,1,6460,101,1940,6460,2.4,2.41,0.000331,0.5,964,669,9.06,10.6,0.106,3.3,564,1.09
560,0.703,0.691,0.000212,6.44e-08,0,0.998,463,80.7,403,469,2.4,0.731,0.00876,0.000425,21.8,119,0.219,2.11,0.00276,0.00327,4000,239
561,0.0191,0.0191,8.79e-06,-1.47e-12,-1.18e-16,0.901,9.14,4.6,9.02,9.15,2.4,322,0.0301,1.39,17.7,5.07,1.91,12.8,0.0108,90.7,7.65,2070
562,0.955,0.955,0.157,-2.45e-10,0,1,6070,0.0814,0.0886,6120,2.4,3.58,0.0147,43.7,392,1.01,418,1.84,3.38,3.08,28.1,2.19
563,0.861,0.861,0.582,-4.41e-08,1.64e-16,1,2930,0.246,0.247,2930,2.4,75.7,0.000902,542,1.8,845,16.6,4.09,0.992,0.616,4950,38.3
564,1,1,743000,-1.88e-15,-7.83e-15,1,1.41e+12,31.8,31.8,1.8e+14,2.4,0.101,95.5,793,24.9,8.76,0.0371,1.18,481,0.102,1420,4090
565,1,1,96,1.48e-16,-2.96e-16,1,419000,237,237,7.9e+08,2.4,1.36,349,0.00331,788,296,12.2,19.2,0.00888,0.00858,1.68,5580
566,0.992,0.992,1.86e-07,-8.02e-12,0,1,54700,41.8,43100,54700,2.4,20.6,0.000915,0.00372,202,48.5,4.84,20.8,22.4,0.0021,4460,1.15
567,0.996,0.996,0.000591,-4.18e-10,-3.65e-16,1,47100,526,7610,50100,2.4,0.172,0.01,0.00264,132,305,0.259,87.3,0.0122,0.0353,593,9440
568,1,1,828000,0,-1.41e-16,1,2.55e+10,178,178,1.4e+16,2.4,1.29,861,299,2.05,2.5,2.78,495,159,0.0413,57.1,1840
569,1,1,0.429,2.59e-16,0,1,19200,196,197,4.9e+08,2.4,2.19,14,0.00711,86,2.95,20.7,1250,0.0216,0.00428,3.57,5460
570,0.999,0.999,0.000116,2.36e-07,-1.16e-16,1,28800,15.2,2830,30000,2.4,0.204,0.0249,0.102,578,3.29,39.5,115,0.172,0.0288,246,5.29
