"","time","D","AmtD0","AmtD","AmtD2","T","DT","L","TL","Ttot","Ltot","Dtot","dose","drug","target","ligand","order"
"2360",25.1,732.869934183838,0,2554.78459056486,1299.51763473479,3.28076385249882e-07,0.00530217562270215,0.400024549672203,4.97007214042483e-08,0.00530255339980881,0.400024599372924,732.875236359461,10,"Siltuximab","sIL-6","mIL-6R",5
"2361",25.2,725.47683567373,0,2529.01224915862,1310.44516791591,3.34670920288582e-07,0.00542048163595184,0.400024548327353,5.0711556644655e-08,0.00542086701842877,0.400024599038909,725.482256155366,10,"Siltuximab","sIL-6","mIL-6R",5
"2362",25.3,718.28480885504,0,2503.94084366867,1320.82021718619,3.41295555230941e-07,0.00553842581897694,0.400024546975987,5.17271868251784e-08,0.005538818841719,0.400024598703173,718.290347280859,10,"Siltuximab","sIL-6","mIL-6R",5
"2363",25.4,711.287041717473,0,2479.54662742711,1330.66250549576,3.47948949005694e-07,0.00565600922406298,0.400024545618388,5.27474015131463e-08,0.0056564099204135,0.400024598365789,711.292697726697,10,"Siltuximab","sIL-6","mIL-6R",5
"2364",25.5,704.476958323477,0,2455.80667671564,1339.99106910854,3.54629796750487e-07,0.00577323290178877,0.400024544254832,5.37719957029907e-08,0.00577364130358122,0.400024598026828,704.482731556379,10,"Siltuximab","sIL-6","mIL-6R",5
"2365",25.6,697.848210610353,0,2432.69886218769,1348.82428145797,3.61336830839085e-07,0.00589009790098924,0.400024542885589,5.48007699918113e-08,0.00589051403859007,0.400024597686359,697.854100708254,10,"Siltuximab","sIL-6","mIL-6R",5
"2366",25.7,691.39467047707,0,2410.20182128307,1357.17987617433,3.68068821765084e-07,0.00600660526871748,0.400024541510919,5.58335307324322e-08,0.00600702917106998,0.40002459734445,691.400677082338,10,"Siltuximab","sIL-6","mIL-6R",5
"2367",25.8,685.110422145909,0,2388.29493160064,1365.07496931216,3.7482457888632e-07,0.00612275605020609,0.400024540131077,5.68700901645471e-08,0.00612318774487514,0.400024597001167,685.11654490196,10,"Siltuximab","sIL-6","mIL-6R",5
"2368",25.9,678.989754789407,0,2366.95828519587,1372.52608080574,3.81602951034571e-07,0.00623855128882805,0.400024538746307,5.79102665246065e-08,0.00623899080204561,0.400024596656573,678.995993340696,10,"Siltuximab","sIL-6","mIL-6R",5
"2369",26,673.027155413386,0,2346.17266377106,1379.54915517926,3.88402826995553e-07,0.00635399202605721,0.400024537356847,5.89538841351701e-08,0.00635443938276835,0.400024596310731,673.033509405412,10,"Siltuximab","sIL-6","mIL-6R",5
