"","F","ka","V1","k12","k21","T0","L0","keD","keT","keL","keDT","keTL","Vm","Km","kon_DT","Kd_DT","kon_TL","Kd_TL","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Tss_sim","Lss_sim","Dss_sim","TLss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_frac_change","TL0_05tau_frac_change","error_simulation","T0_thy","TL0_thy","L0_thy","Ttotss_thy","Lss_thy","Tss_thy","TLss_thy","Tfold_thy","Lfold_thy","Dss_thy","Cavgss_thy","Ccrit_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","SCIM_Lfold_thy","SCIM_Lfold_adhoc_thy","dose_mpk","drug","target","ligand","order","id","tmax","tau","dose_nmol","koff_DT","Kss_DT","koff_TL","Kss_TL","assumption_SCIM_lt_30","assumption_drug_gg_Ttot","assumption_drug_gg_KssDT","assumption_koffDT_gt_keT","assumption_Dss_gt_Ccrit","assumption_Dss_gg_LssKssDT_KssTL","assumption_ODE_tolerance","assumption_all_SCIM"
"24",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,5.73714719738183e-06,0.0106817903924334,42021.1729880127,2.77893847422397e-08,3.82476479825455e-05,4.07577642886182e-05,357,-0.0001142877735643,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,2.79151543101052e-08,1.00454545454545,1.06818181818182,41932.1036678828,41932.1036678828,14.8270909090909,3.83288931797397e-05,3.83303623401034e-05,4.09422263214893e-05,4.09405577085143e-05,4.09437885505274e-05,4.09437961360212e-05,4.09437961360194e-05,4.09421198102125e-05,562.341325190349,"Atezolizumab","mPD-L1","mPD-1",2,23,364,21,262425.951755496,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"25",0,0,3.28,0.166463414634146,0.150413223140496,0.15,0.01,0.0609756097560976,6,6,6,6,0,1,5,0.4,5,1,0.000681818181818182,0.15,0.01,0.150681818181818,3.22579111186471e-06,0.0106818025568258,74736.9241839848,1.56249924311126e-08,2.15052740790981e-05,2.29166555656318e-05,357,-0.00011428795907092,1.59016318631207e-16,0,0.15,0.000681818181818154,0.01,0.150681818181818,0.0106818181818182,-99,1.56981082842137e-08,1.00454545454545,1.06818181818182,74566.9965722136,74566.9965722136,14.8270909090909,2.15542821562667e-05,2.155474675336e-05,2.30238921501811e-05,2.30233644613066e-05,2.30243861787097e-05,2.30243885774537e-05,2.30243885774526e-05,2.30238584671887e-05,1000,"Atezolizumab","mPD-L1","mPD-1",2,24,364,21,466666.666666667,0.08,1.6,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"26",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.010475569985951,0.00967168831434874,0.150017567221099,0.0293228882836239,0.000558002764851668,0.97693821357058,0.976974537787432,357,-1.34700793119799e-08,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000553246996164541,1.07692307692309,1.00507692307692,0.0688791644802863,0.0688791644802863,1.01187692307692,0.947693714215853,18.1181611351015,0.968647939412546,0.505357956983903,9.21779018854121,18.2101456454773,18.2101456454797,0.947944173956052,0.001,"Pembrolizumab","mPD-1","mPD-L1",1,25,364,21,0.466666666666667,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"27",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0104790516974395,0.00949161691865375,0.150031421558579,0.0534510837130917,0.000547630138860208,0.958749183702399,0.958813711135717,357,-3.28239310192884e-08,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000531253713329458,1.07692307692309,1.00507692307692,0.122486399975977,0.122486399975977,1.01187692307692,0.910623239066082,10.1885907427253,0.930141181586816,0.494673802932299,6.61267849450855,10.240317434187,10.2403174341883,0.911034540985611,0.00177827941003892,"Pembrolizumab","mPD-1","mPD-L1",1,26,364,21,0.829863724684831,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"28",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0104852880968343,0.00916892524994795,0.150056246520068,0.099073598763083,0.000529041576766698,0.926154065651308,0.926268080534286,357,-9.633300068603e-08,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000496177850120154,1.07692307692309,1.00507692307692,0.217815043087073,0.217815043087073,1.01187692307692,0.851399790643825,5.72946562008625,0.868728895833161,0.476749937369009,4.4009020368449,5.75855367631055,5.75855367631131,0.852039349261219,0.00316227766016838,"Pembrolizumab","mPD-1","mPD-L1",1,27,364,21,1.47572957474524,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"29",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0104963219127487,0.00859754029643709,0.15010019691303,0.188301729890576,0.000496124999718572,0.868438413781525,0.868636363143628,357,-3.57363757754121e-07,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000444042646782807,1.07692307692309,1.00507692307692,0.387336006318482,0.387336006318482,1.01187692307692,0.763140676341099,3.22191528943185,0.777448405141521,0.447890702439296,2.75954916571912,3.23827270551623,3.23827270551666,0.764054823867664,0.00562341325190349,"Pembrolizumab","mPD-1","mPD-L1",1,28,364,21,2.62425951755496,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"30",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0105149669933429,0.00763074712764805,0.150174544851598,0.369850802710928,0.000440422141745034,0.770782538146267,0.771109473762349,357,-1.62239594717244e-06,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000374135358946363,1.07692307692309,1.00507692307692,0.688791644802863,0.688791644802863,1.01187692307692,0.644357966655351,1.81181611351015,0.655051806909378,0.404363014943807,1.6591566165022,1.82101456454773,1.82101456454797,0.64551760470608,0.01,"Pembrolizumab","mPD-1","mPD-L1",1,29,364,21,4.66666666666667,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"31",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0105429442534704,0.00617743478922878,0.150286280064999,0.750060136326474,0.000356664188471055,0.623983312043311,0.624462552205215,357,-7.34753595597403e-06,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000292302120730955,1.07692307692309,1.00507692307692,1.22486399975978,1.22486399975978,1.01187692307692,0.50467072578588,1.01885907427253,0.511774756835279,0.344778463112973,0.970776089927396,1.0240317434187,1.02403174341883,0.505936602401858,0.0177827941003892,"Pembrolizumab","mPD-1","mPD-L1",1,30,364,21,8.29863724684831,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"32",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0105765667473015,0.00442764504965737,0.150420801820557,1.53974601055338,0.000255764926744216,0.447236873702764,0.447803912144756,357,-2.39926299900005e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.00021044728930465,1.07692307692309,1.00507692307692,2.17815043087073,2.17815043087073,1.01187692307692,0.364250493848299,0.572946562008625,0.36845990046601,0.273192088421163,0.558622210571992,0.575855367631055,0.575855367631131,0.365423997315675,0.0316227766016838,"Pembrolizumab","mPD-1","mPD-L1",1,31,364,21,14.7572957474524,0.0519031141868512,1.15882352941176,0.2,2.2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"33",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106070689651205,0.00283837720141382,0.150543020069315,3.10164217021354,0.000164048895805498,0.286704767819578,0.287223655955754,357,-4.84554723295795e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,0.000140487334014758,1.07692307692309,1.00507692307692,3.87336006318482,3.87336006318482,1.01187692307692,0.24367992222784,0.322191528943185,0.245971089857458,0.199523258916076,0.318305344608064,0.323827270551623,0.323827270551666,0.244614443103835,0.0562341325190349,"Pembrolizumab","mPD-1","mPD-L1",1,32,364,21,26.2425951755496,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"34",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106289713952559,0.00169681333425035,0.150630857702285,6.02978784374713,9.81136929710226e-05,0.171395286287914,0.171781549982935,357,-6.81349526307507e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,8.82923126554504e-05,1.07692307692309,1.00507692307692,6.88791644802863,6.88791644802863,1.01187692307692,0.153390138832066,0.181181611351015,0.154585867275517,0.134855851797225,0.18034214039622,0.182101456454773,0.182101456454797,0.154048923178669,0.1,"Pembrolizumab","mPD-1","mPD-L1",1,33,364,21,46.6666666666667,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"35",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106427128795769,0.000980692399383214,0.150685989856038,11.3465319596141,5.67230235389469e-05,0.0990598383215367,0.0993130378459676,357,-7.93420390490203e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,5.31663247118801e-05,1.07692307692309,1.00507692307692,12.2486399975978,12.2486399975978,1.01187692307692,0.0924650245007143,0.101885907427253,0.0930858210443579,0.085549030140117,0.101844467373218,0.10240317434187,0.102403174341883,0.0928908558368552,0.177827941003892,"Pembrolizumab","mPD-1","mPD-L1",1,34,364,21,82.9863724684831,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"36",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106508162112481,0.00055849148722975,0.150718507164163,20.8701949997954,3.23090470848283e-05,0.0564132815383585,0.0565680285660294,357,-8.49668610751868e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,3.11375573698228e-05,1.07692307692309,1.00507692307692,21.7815043087073,21.7815043087073,1.01187692307692,0.0541898664339582,0.0572946562008625,0.0545169354623093,0.0518420719411801,0.0574084352154299,0.0575855367631055,0.0575855367631131,0.0544500040529692,0.316227766016838,"Pembrolizumab","mPD-1","mPD-L1",1,35,364,21,147.572957474524,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"37",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106554713242113,0.000315994509741238,0.150737188850887,37.8466334379819,1.82824733247886e-05,0.0319186373475998,0.0320097176056905,357,-8.77542521372026e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,1.7928050175597e-05,1.07692307692309,1.00507692307692,38.7336006318482,38.7336006318482,1.01187692307692,0.0312134809783143,0.0322191528943185,0.0313891787586172,0.0304835841580105,0.0323266471449247,0.0323827270551623,0.0323827270551666,0.0313669787439558,0.562341325190349,"Pembrolizumab","mPD-1","mPD-L1",1,36,364,21,262.425951755496,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"38",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106581158043265,0.000178253465916454,0.150747801950454,68.0588638396846,1.03138538721125e-05,0.0180054005976217,0.0180579259713755,357,-8.91734903024967e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,1.02189028493132e-05,1.07692307692309,1.00507692307692,68.8791644802863,68.8791644802863,1.01187692307692,0.0177957351383474,0.0181181611351015,0.0178916817563711,0.0175937630686,0.0181923981693896,0.0182101456454773,0.0182101456454797,0.0178844668984669,1,"Pembrolizumab","mPD-1","mPD-L1",1,37,364,21,466.666666666667,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"39",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106596105160239,0.000100405376503353,0.150753800789611,121.797930011693,5.80972641305753e-06,0.0101419572225609,0.0101719115649492,357,-8.991963604142e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,5.79083378525931e-06,1.07692307692309,1.00507692307692,122.486399975978,122.486399975978,1.01187692307692,0.0100858303450391,0.0101885907427253,0.0101388335634157,0.0100424692245979,0.0102347027946087,0.010240317434187,0.0102403174341883,0.0101365162897049,1.77827941003892,"Pembrolizumab","mPD-1","mPD-L1",1,38,364,21,829.863724684831,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"40",0,0,3.48,0.228448275862069,0.195812807881773,0.0099,0.15,0.0632183908045977,6,6,6,8,0,1,8.16,0.423529411764706,5,1,0.000571153846153846,0.0099,0.15,0.0106604533064415,5.65128125947371e-05,0.150757183255325,217.368509401816,3.27005111643572e-06,0.00570836490855931,0.00572534202204234,357,-9.03219239186169e-05,1.89826642994095e-16,0,0.00989999999999991,0.000571153846153916,0.15,0.0106615384615385,0.150761538461538,-99,3.27061075443336e-06,1.07692307692309,1.00507692307692,217.815043087073,217.815043087073,1.01187692307692,0.00569682585222232,0.00572946562008625,0.00572632185961327,0.00569545503000871,0.00575677774522224,0.00575855367631055,0.00575855367631131,0.005725582601572,3.16227766016838,"Pembrolizumab","mPD-1","mPD-L1",1,39,364,21,1475.72957474524,0.0519031141868512,1.15882352941176,0.2,2.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
