"","T0_thy","Ttotss_thy","Lss_thy","Dss_thy","AFIR_thy","AFIR_simple_thy","SCIM_thy","SCIM_adhoc_thy","SCIM_simpler_thy","SCIM_simplest_thy","param.to.change","TL0_sim","T0_sim","L0_sim","Ttotss_sim","Lss_sim","Dss_sim","AFIR_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","error_simulation","param","fold.change.param","drug"
"30",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,6.74622e-05,7.92198e-05,7.48815e-05,8.412e-05,0.005,366.667,0.5,7.33333,68.7089,7.44746,6875.39,0.000103474,0.18655,357,68.4018,-0.110664,0,0,"koff_TL",0.001,"Pembro"
"31",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.20809e-05,8.35903e-05,8.30948e-05,8.412e-05,0.05,36.6667,0.5,7.33333,0.252423,7.33332,6881.92,8.41843e-05,6.56561e-05,357,0.00240739,-0.00159081,0,0,"koff_TL",0.00999999999999999,"Pembro"
"32",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.38989e-05,8.4054e-05,8.40164e-05,8.412e-05,0.5,3.66667,0.5,7.33333,0.250312,7.33333,6881.92,8.41857e-05,7.98561e-05,357,0.000292806,-9.05231e-05,0,0,"koff_TL",0.0999999999999998,"Pembro"
"33",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,5,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.08539e-05,0,0,"koff_TL",0.999999999999999,"Pembro"
"34",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41038e-05,8.41054e-05,8.4119e-05,8.412e-05,50,0.0366667,0.5,7.33333,0.250024,7.33333,6881.93,8.41861e-05,8.41407e-05,357,3.08516e-06,-9.08367e-05,0,0,"koff_TL",9.99999999999997,"Pembro"
"35",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41057e-05,8.41058e-05,8.41199e-05,8.412e-05,500,0.00366667,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,8.41816e-05,357,3.08666e-07,-9.09845e-05,0,0,"koff_TL",99.9999999999998,"Pembro"
"36",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5000,0.000366667,0.5,7.33333,0.250021,7.33333,6881.93,8.41861e-05,8.41857e-05,357,3.08681e-08,-9.08379e-05,0,0,"koff_TL",999.999999999999,"Pembro"
"37",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,50000,3.66667e-05,0.5,7.33333,0.250021,7.33333,6881.92,8.41864e-05,8.41862e-05,357,3.08683e-09,-8.99439e-05,0,0,"koff_TL",9999.99999999997,"Pembro"
"38",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e+05,3.66667e-06,0.5,7.33333,0.250021,7.33333,6881.92,8.41863e-05,0.000373763,357,1.37046e-09,0.774738,0,0,"koff_TL",99999.9999999998,"Pembro"
"39",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e+06,3.66667e-07,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,8.41861e-05,357,3.08683e-11,-8.29269e-05,2.88761e-16,0,"koff_TL",1e+06,"Pembro"
"40",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e-07,3.66667e-07,0.5,7.33333,0.250021,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-11,-9.09077e-05,0,0,"kon_TL",1e-06,"Pembro"
"41",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e-06,3.66667e-06,0.5,7.33333,0.250021,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-10,-9.08425e-05,1.15504e-16,0,"kon_TL",1e-05,"Pembro"
"42",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e-05,3.66667e-05,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,8.37339e-05,357,3.07024e-09,-9.06577e-05,0,0,"kon_TL",1e-04,"Pembro"
"43",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41059e-05,8.41059e-05,8.412e-05,8.412e-05,5e-04,0.000366667,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,8.37339e-05,357,3.07024e-08,-9.06554e-05,0,0,"kon_TL",0.001,"Pembro"
"44",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41057e-05,8.41058e-05,8.41199e-05,8.412e-05,0.005,0.00366667,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,8.37339e-05,357,3.07024e-07,-9.09814e-05,0,0,"kon_TL",0.01,"Pembro"
"45",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.41038e-05,8.41054e-05,8.4119e-05,8.412e-05,0.05,0.0366667,0.5,7.33333,0.250024,7.33333,6881.92,8.4187e-05,8.37339e-05,357,3.07024e-06,-9.06593e-05,0,0,"kon_TL",0.0999999999999999,"Pembro"
"46",0.5,0.25,7.33333,6887.92,8.4113e-05,8.412e-05,8.40851e-05,8.41007e-05,8.41097e-05,8.412e-05,0.5,0.366667,0.5,7.33333,0.250052,7.33333,6881.93,8.41861e-05,8.37339e-05,357,3.07024e-05,-9.08764e-05,0,0,"kon_TL",1,"Pembro"
