"","TL0_keTL0_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","L0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_last_dose","TLss_sim","TLss_frac_change","TL0_05tau_frac_change","param.to.change1","fold.change.param1","param","drug"
"31",0.726,0.5,0.25,7.33333,6887.92,0.00419601,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.05,0.01,36.6667,0.5,7.33333,0.252423,7.33332,6881.92,6.56562e-05,357,0.00240739,-0.00159082,0,0.05,0.01,"koff_TL","Pembro"
"32",0.0726,0.5,0.25,7.33333,6887.92,0.00424254,NA,NA,NA,NA,0,8.41139e-05,0.00424849,0.5,0.1,3.66667,0.5,7.33333,0.250312,7.33333,6881.92,7.98561e-05,357,0.000292806,-9.03227e-05,0,0.5,0.1,"koff_TL","Pembro"
"33",0.00726,0.5,0.25,7.33333,6887.92,0.00424725,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5,1,0.366667,0.5,7.33333,0.250052,7.33333,6881.92,8.37339e-05,357,3.07024e-05,-9.10808e-05,0,5,1,"koff_TL","Pembro"
"34",0.000726,0.5,0.25,7.33333,6887.92,0.00424772,NA,NA,NA,NA,0,8.41139e-05,0.00424849,50,10,0.0366667,0.5,7.33333,0.250024,7.33333,6881.93,8.41407e-05,357,3.08516e-06,-9.08384e-05,0,50,10,"koff_TL","Pembro"
"35",7.26e-05,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,500,100,0.00366667,0.5,7.33333,0.250021,7.33333,6881.92,8.41816e-05,357,3.08666e-07,-9.19666e-05,0,500,100,"koff_TL","Pembro"
"36",7.26e-06,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5000,1000,0.000366667,0.5,7.33333,0.250021,7.33333,6881.93,8.41857e-05,357,3.08681e-08,-9.08379e-05,0,5000,1000,"koff_TL","Pembro"
"37",7.26e-07,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,50000,10000,3.66667e-05,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,357,3.08683e-09,-9.00434e-05,0,50000,10000,"koff_TL","Pembro"
"38",7.26e-08,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e+05,1e+05,3.66667e-06,0.5,7.33333,0.250021,7.33333,6881.92,0.000266428,357,9.76902e-10,0.683988,0,5e+05,1e+05,"koff_TL","Pembro"
"39",7.26e-09,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e+06,1e+06,3.66667e-07,0.5,7.33333,0.250021,7.33333,6881.92,8.41861e-05,357,3.08682e-11,-9.08801e-05,2.88761e-16,5e+06,1e+06,"koff_TL","Pembro"
"40",7.26e-09,0.5,0.25,7.33333,6887.92,0.00424777,NA,NA,NA,NA,0,8.41139e-05,0.00424849,5e-07,1e-06,3.66667e-07,0.5,7.33333,0.250021,7.33333,6881.92,8.37339e-05,357,3.07024e-11,-9.06591e-05,0,5e-07,1e-06,"kon_TL","Pembro"
